,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
14,uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,24.98,12985452404.0,15.0,24978874401.0,276241602.0,25.97,24.66,-0.118358078327,-0.47152,-65664674.924072266,-0.50313,519857388.1320768,1000000000.0,1000000000.0,44.92,-44.42762,2021-05-03T05:25:04.822Z,1.03,2323.09673,2020-09-17T01:20:38.214Z,,2021-10-10T20:14:35.157Z
15,litecoin,ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,178.95,12305129725.0,16.0,15041187383.0,2680659341.0,184.98,176.84,-0.195083458673,-0.10889,-84003956.84212303,-0.67805,68720033.2334713,84000000.0,84000000.0,410.26,-56.35519,2021-05-10T03:13:07.904Z,1.15,15485.87317,2015-01-14T00:00:00.000Z,,2021-10-10T20:13:57.423Z
16,chainlink,link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,26.52,12159402133.0,17.0,26548359153.0,697695513.0,27.63,26.42,-0.748120454282,-2.74354,-404650841.66143036,-3.2207,458009553.9174637,1000000000.0,1000000000.0,52.7,-49.61914,2021-05-10T00:13:57.214Z,0.148183,17816.33559,2017-11-29T00:00:00.000Z,,2021-10-10T20:14:31.417Z
17,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,55651.0,11592143909.0,18.0,11592143909.0,381902412.0,56062.0,54385.0,1162.68,2.13381,161753814.0,1.41512,208868.68493299,208868.68493299,208868.68493299,64565.0,-14.08611,2021-04-14T12:00:05.340Z,3139.17,1667.04193,2019-04-02T00:00:00.000Z,,2021-10-10T20:14:08.074Z
18,bitcoin-cash,bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,600.4,11301776258.0,19.0,12578210084.0,7420348778.0,622.34,597.67,-12.828073437748,-2.0919,-334795996.73610497,-2.8771,18868924.8966534,21000000.0,21000000.0,3785.82,-84.16029,2017-12-20T00:00:00.000Z,76.93,679.44317,2018-12-16T00:00:00.000Z,,2021-10-10T20:13:55.469Z
19,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.83,11226091500.0,20.0,18280723911.0,211063421.0,1.91,1.81,-0.045047490417,-2.40364,-340492033.5336971,-2.94376,6140944721.50613,6685289152.01207,10000000000.0,3.56,-48.70622,2019-06-20T14:51:19.480Z,0.105336,1634.12622,2020-03-13T02:20:48.438Z,"{'times': -0.2378803248499875, 'currency': 'usd', 'percentage': -23.78803248499875}",2021-10-10T20:14:16.943Z
20,cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,33.68,9499499082.0,21.0,,458313036.0,35.4,33.73,-1.144673851346,-3.28734,-317990367.23892593,-3.23902,280493173.557837,,,44.42,-23.86132,2021-09-20T00:05:25.062Z,1.16,2815.42286,2020-03-13T02:27:44.591Z,"{'times': 335.759861177885, 'currency': 'usd', 'percentage': 33575.9861177885}",2021-10-10T20:14:04.553Z
21,matic-network,matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic-token-icon.png?1624446912,1.3,8704803607.0,22.0,12955502703.0,583586839.0,1.36,1.29,-0.031733831348,-2.38945,-266304598.60215187,-2.96847,6719001034.9,10000000000.0,10000000000.0,2.62,-50.55654,2021-05-18T19:38:18.813Z,0.00314376,41112.72511,2019-05-10T00:00:00.000Z,"{'times': 491.90750651902357, 'currency': 'usd', 'percentage': 49190.75065190236}",2021-10-10T20:14:44.542Z
22,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.347765,8303145022.0,23.0,17398448931.0,513202563.0,0.358216,0.344353,-0.006790146919,-1.91512,-194171894.38959312,-2.2851,23862599538.3434,50001802732.348,50001802732.348,0.875563,-60.25912,2018-01-03T00:00:00.000Z,0.00047612,72981.14642,2015-03-05T00:00:00.000Z,,2021-10-10T20:14:22.722Z
23,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,72.89,8095432496.0,24.0,143511072944.0,718772046.0,76.71,72.55,-2.693829682697,-3.56404,-298518495.16791725,-3.55635,111219493.0,1971633854.0,1971633854.0,236.84,-69.23376,2021-04-01T13:29:41.564Z,20.06,263.25181,2020-12-29T22:32:28.483Z,,2021-10-10T20:14:42.968Z
