id,name,current_price,total_volume,market_cap,last_updated
omisego,OMG Network,14.36,1345164399.0,2026488455.0,2021-10-12T10:30:22.357Z
sushi,Sushi,9.75,217323601.0,1881335328.0,2021-10-12T10:29:43.793Z
thorchain,THORChain,6.91,48566569.0,1821799866.0,2021-10-12T10:29:32.019Z
helium,Helium,18.24,9195424.0,1797733088.0,2021-10-12T10:29:39.752Z
dash,Dash,173.06,365149121.0,1796498056.0,2021-10-12T10:29:41.577Z
compound-governance-token,Compound,289.9,117290163.0,1772847414.0,2021-10-12T10:30:11.723Z
decred,Decred,125.72,14392613.0,1679494021.0,2021-10-12T10:27:58.858Z
celo,Celo,5.14,66270854.0,1677806684.0,2021-10-12T10:30:19.546Z
havven,Synthetix Network Token,9.14,78768192.0,1603914788.0,2021-10-12T10:30:04.400Z
chiliz,Chiliz,0.292138,181090640.0,1561389334.0,2021-10-12T10:30:01.946Z
holotoken,Holo,0.00877548,140452706.0,1560824513.0,2021-10-12T10:29:49.280Z
nem,NEM,0.172825,87744047.0,1551083639.0,2021-10-12T10:30:26.682Z
theta-fuel,Theta Fuel,0.279244,17722320.0,1543064790.0,2021-10-12T10:30:11.045Z
ecomi,ECOMI,0.00698961,12352817.0,1532706951.0,2021-10-12T10:25:44.121Z
magic-internet-money,Magic Internet Money,1.0,67136569.0,1476823686.0,2021-10-12T10:30:29.407Z
xdce-crowd-sale,XDC Network,0.116191,5498318.0,1411597770.0,2021-10-12T10:29:58.100Z
enjincoin,Enjin Coin,1.46,83842556.0,1374296181.0,2021-10-12T10:30:17.368Z
icon,ICON,1.99,55177862.0,1353598385.0,2021-10-12T10:30:05.668Z
bitclout,Decentralized Social,125.66,231730.0,1329498062.0,2021-10-12T10:26:13.387Z
zcash,Zcash,113.22,243172824.0,1324491758.0,2021-10-12T10:30:08.935Z
true-usd,TrueUSD,1.0,83775869.0,1306359905.0,2021-10-12T10:30:05.691Z
qtum,Qtum,12.38,239368627.0,1297375904.0,2021-10-12T10:29:51.428Z
dydx,dYdX,21.65,595598904.0,1218175541.0,2021-10-12T10:30:22.695Z
bitcoin-gold,Bitcoin Gold,68.53,31272869.0,1205184061.0,2021-10-12T10:30:23.133Z
yearn-finance,yearnfinance,33703.0,423860585.0,1197511879.0,2021-10-12T10:30:01.842Z
huobi-token,Huobi Token,7.25,80751482.0,1191650842.0,2021-10-12T10:30:09.405Z
iostoken,IOST,0.051479,173466407.0,1178678299.0,2021-10-12T10:30:10.715Z
flow,Flow,17.46,107514025.0,1173616635.0,2021-10-12T10:30:08.455Z
zilliqa,Zilliqa,0.08832,78475865.0,1111052495.0,2021-10-12T10:30:25.028Z
mdex,Mdex,1.6,92006860.0,1057625311.0,2021-10-12T10:29:10.084Z
mina-protocol,Mina Protocol,3.99,47823717.0,1045621974.0,2021-10-12T10:29:46.246Z
ravencoin,Ravencoin,0.102483,41259236.0,1003749353.0,2021-10-12T10:30:27.820Z
curve-dao-token,Curve DAO Token,2.56,139357369.0,1002747754.0,2021-10-12T10:29:49.062Z
basic-attention-token,Basic Attention Token,0.670688,82354018.0,1002478065.0,2021-10-12T10:29:33.387Z
telcoin,Telcoin,0.01733767,9056276.0,993480965.0,2021-10-12T10:27:29.542Z
renbtc,renBTC,55971.0,3497439.0,977399423.0,2021-10-12T10:25:36.168Z
decentraland,Decentraland,0.721913,46876830.0,967389828.0,2021-10-12T10:30:12.303Z
serum,Serum,7.09,106522937.0,955020766.0,2021-10-12T10:29:59.053Z
paxos-standard,Pax Dollar,1.0,28511248.0,952665540.0,2021-10-12T10:30:29.968Z
republic-protocol,REN,0.951978,87789441.0,949280655.0,2021-10-12T10:30:01.540Z
nexo,NEXO,1.65,9212867.0,935912708.0,2021-10-12T10:30:18.860Z
nxm,Nexus Mutual,131.85,36112.0,910109297.0,2021-10-12T10:06:40.386Z
safemoon,SafeMoon,1.54e-06,5119597.0,896259180.0,2021-10-12T10:30:02.867Z
kucoin-shares,KuCoin Token,11.32,8924501.0,881683521.0,2021-10-12T10:26:18.317Z
secret,Secret,6.17,15358645.0,880866884.0,2021-10-12T10:29:24.750Z
bancor,Bancor Network Token,3.75,53504952.0,866481756.0,2021-10-12T10:29:46.046Z
siacoin,Siacoin,0.01749696,52561264.0,859141421.0,2021-10-12T10:30:14.087Z
osmosis,Osmosis,4.26,5887933.0,838933569.0,2021-10-12T10:25:33.853Z
spell-token,Spell Token,0.01483569,101257973.0,829117476.0,2021-10-12T10:29:39.281Z
zencash,Horizen,69.99,34903825.0,813688399.0,2021-10-12T10:29:54.906Z
perpetual-protocol,Perpetual Protocol,14.64,91411167.0,812121286.0,2021-10-12T10:29:45.566Z
0x,0x,0.950617,90651037.0,807820019.0,2021-10-12T10:30:14.505Z
ontology,Ontology,0.890786,164683713.0,785171840.0,2021-10-12T10:30:16.157Z
celer-network,Celer Network,0.136697,189623799.0,769723018.0,2021-10-12T10:30:28.560Z
audius,Audius,1.86,17483359.0,767402134.0,2021-10-12T10:29:59.683Z
xsushi,xSUSHI,11.58,5430399.0,760685686.0,2021-10-12T10:29:39.004Z
compound-usdt,cUSDT,0.02150401,1147298.0,757092513.0,2021-10-12T10:29:45.026Z
digibyte,DigiByte,0.04586912,21906213.0,681065665.0,2021-10-12T10:29:59.732Z
link,LINK,109.0,1522577.0,657711255.0,2021-10-12T10:27:25.163Z
nano,Nano,4.98,18164570.0,657279131.0,2021-10-12T10:27:20.207Z
raydium,Raydium,9.2,91603211.0,654607113.0,2021-10-12T10:29:06.241Z
iotex,IoTeX,0.067155,54718567.0,639963968.0,2021-10-12T10:30:00.097Z
ankr,Ankr,0.083192,45673830.0,634680372.0,2021-10-12T10:30:05.267Z
polymath,Polymath,0.716788,30830938.0,634212918.0,2021-10-12T10:30:06.433Z
gatechain-token,GateToken,3.91,4179110.0,629161770.0,2021-10-12T10:29:02.921Z
liquity-usd,Liquity USD,0.996135,14883181.0,628385411.0,2021-10-12T10:30:24.892Z
wonderland,Wonderland,6159.71,56099174.0,626576280.0,2021-10-12T10:29:17.625Z
uma,UMA,9.65,22340723.0,615371163.0,2021-10-12T10:30:08.271Z
the-sandbox,The Sandbox,0.690461,59016457.0,614903935.0,2021-10-12T10:29:57.561Z
gala,Gala,0.081713,102676870.0,612259999.0,2021-10-12T10:30:25.267Z
swissborg,SwissBorg,0.632377,1773959.0,611162404.0,2021-10-12T10:27:27.779Z
metahero,Metahero,0.132753,19577127.0,609506218.0,2021-10-12T10:30:10.638Z
fx-coin,Function X,1.42,132398168.0,596642314.0,2021-10-12T10:29:52.031Z
skale,SKALE,0.278963,20837700.0,589506607.0,2021-10-12T10:30:02.881Z
coin98,Coin98,3.05,42325086.0,568164862.0,2021-10-12T10:29:36.189Z
neutrino,Neutrino USD,0.982141,21726463.0,562226120.0,2021-10-12T10:27:29.948Z
yield-guild-games,Yield Guild Games,6.23,35860375.0,549929444.0,2021-10-12T10:30:23.262Z
fei-protocol,Fei Protocol,1.0,49411967.0,529485516.0,2021-10-12T10:30:25.902Z
golem,Golem,0.528798,13920932.0,527954459.0,2021-10-12T10:30:32.856Z
wazirx,WazirX,1.14,12365407.0,519668280.0,2021-10-12T10:27:40.473Z
kava,Kava,5.6,79646275.0,512399939.0,2021-10-12T10:29:54.285Z
1inch,1inch,2.74,76109303.0,495448061.0,2021-10-12T10:30:13.162Z
dent,Dent,0.00507627,43288575.0,488401300.0,2021-10-12T10:30:03.371Z
fetch-ai,Fetchai,0.697451,55192213.0,478055592.0,2021-10-12T10:30:25.867Z
wax,WAX,0.27076,56726989.0,475398349.0,2021-10-12T10:29:46.740Z
rocket-pool,Rocket Pool,29.22,4506596.0,472588841.0,2021-10-12T10:30:18.752Z
moonriver,Moonriver,231.12,21760139.0,472463153.0,2021-10-12T10:27:00.042Z
titanswap,TitanSwap,4.69,142513.0,470764815.0,2021-10-12T10:26:00.686Z
woo-network,WOO Network,0.862588,50288060.0,465226028.0,2021-10-12T10:29:32.385Z
constellation-labs,Constellation,0.189605,11794433.0,463209393.0,2021-10-12T10:27:21.787Z
gnosis,Gnosis,300.15,3763397.0,450861871.0,2021-10-12T10:29:31.390Z
digitalbits,DigitalBits,0.588939,2812826.0,449523190.0,2021-10-12T10:29:50.672Z
lisk,Lisk,3.02,23523246.0,439301380.0,2021-10-12T10:29:58.547Z
loopring,Loopring,0.351996,40144974.0,438618888.0,2021-10-12T10:30:17.667Z
bitcoin-diamond,Bitcoin Diamond,2.28,7307196.0,437050420.0,2021-10-12T10:30:07.614Z
oxygen,Oxygen,2.12,1045422.0,426867749.0,2021-10-12T10:27:42.035Z
reserve-rights-token,Reserve Rights Token,0.03239293,38089679.0,426000297.0,2021-10-12T10:30:11.077Z
swipe,Swipe,2.25,160745684.0,423017511.0,2021-10-12T10:30:22.893Z
ergo,Ergo,9.22,4095337.0,419421717.0,2021-10-12T10:29:28.016Z
pirate-chain,Pirate Chain,2.23,3002070.0,418791136.0,2021-10-12T10:27:24.234Z
coti,COTI,0.47914,64250244.0,416766200.0,2021-10-12T10:29:54.362Z
convex-finance,Convex Finance,13.82,14115056.0,416408735.0,2021-10-12T10:30:21.043Z
vectorspace,Vectorspace AI,10.73,4001504.0,409815413.0,2021-10-12T10:27:08.815Z
livepeer,Livepeer,16.71,17926023.0,409315302.0,2021-10-12T10:30:06.077Z
plex,PLEX,1.94,34028771.0,406880629.0,2021-10-12T10:28:19.544Z
energy-web-token,Energy Web Token,10.2,4422179.0,406153799.0,2021-10-12T10:30:23.551Z
beta-finance,Beta Finance,2.52,142969518.0,404495946.0,2021-10-12T10:28:20.829Z
alpha-finance,Alpha Finance,0.906811,7840011.0,404391752.0,2021-10-12T10:29:49.192Z
pundi-x-2,Pundi X,1.56,29551847.0,400818164.0,2021-10-12T10:30:24.037Z
nervos-network,Nervos Network,0.01401297,17420770.0,397113229.0,2021-10-12T10:30:12.984Z
wink,WINkLink,0.0005073,41255832.0,392986765.0,2021-10-12T10:28:15.452Z
illuvium,Illuvium,610.47,31304595.0,391669950.0,2021-10-12T10:29:36.662Z
frax,Frax,1.0,13819484.0,390037990.0,2021-10-12T10:30:20.985Z
verge,Verge,0.02285014,20354567.0,377744956.0,2021-10-12T10:29:51.929Z
tribe-2,Tribe,0.823684,56451056.0,375835998.0,2021-10-12T10:29:48.647Z
verasity,Verasity,0.055408,104600089.0,375068788.0,2021-10-12T10:30:01.038Z
seth,sETH,3500.29,4244302.0,374639042.0,2021-10-12T10:26:38.849Z
radio-caca,Radio Caca,0.0020472,64388777.0,374357453.0,2021-10-12T10:30:00.521Z
persistence,Persistence,7.03,1251710.0,372175589.0,2021-10-12T10:26:14.501Z
xyo-network,XYO Network,0.03028109,34600739.0,365445676.0,2021-10-12T10:30:28.811Z
medibloc,Medibloc,0.067745,24309191.0,361229555.0,2021-10-12T10:29:57.349Z
lukso-token,LUKSO Token,23.55,3896553.0,355544669.0,2021-10-12T10:30:21.852Z
vethor-token,VeThor Token,0.00855963,16812879.0,353694356.0,2021-10-12T10:29:29.326Z
anchor-protocol,Anchor Protocol,2.84,4477169.0,346086704.0,2021-10-12T10:29:02.365Z
badger-dao,Badger DAO,34.39,118585243.0,342069199.0,2021-10-12T10:29:43.120Z
superrare,SuperRare,2.42,314360157.0,341854542.0,2021-10-12T10:30:25.362Z
orbs,Orbs,0.11597,15464904.0,338186059.0,2021-10-12T10:30:05.438Z
tokamak-network,Tokamak Network,8.69,88617528.0,335498165.0,2021-10-12T10:30:02.911Z
asd,AscendEx Token,0.449738,4205869.0,333603042.0,2021-10-12T10:27:30.023Z
status,Status,0.086271,17598409.0,333231517.0,2021-10-12T10:30:05.174Z
trust-wallet-token,Trust Wallet Token,0.956394,44569825.0,331667094.0,2021-10-12T10:29:37.719Z
injective-protocol,Injective Protocol,10.06,14765735.0,330198357.0,2021-10-12T10:29:36.967Z
electroneum,Electroneum,0.01839415,1238436.0,328637634.0,2021-10-12T10:27:15.220Z
bakerytoken,BakerySwap,1.69,25286019.0,326180674.0,2021-10-12T10:30:14.094Z
rari-governance-token,Rari Governance Token,28.31,2343430.0,326045536.0,2021-10-12T10:30:19.423Z
ardor,Ardor,0.313277,9524697.0,322056962.0,2021-10-12T10:30:16.575Z
kadena,Kadena,2.11,3562747.0,321279483.0,2021-10-12T10:29:57.041Z
pax-gold,PAX Gold,1770.99,5902293.0,319475006.0,2021-10-12T10:29:27.958Z
ocean-protocol,Ocean Protocol,0.732736,30357826.0,318538286.0,2021-10-12T10:29:59.377Z
velas,Velas,0.143291,6147485.0,317256974.0,2021-10-12T10:29:51.426Z
conflux-token,Conflux,0.314576,24274314.0,317095804.0,2021-10-12T10:29:47.780Z
akash-network,Akash Network,2.77,3401568.0,314380341.0,2021-10-12T10:29:54.405Z
civic,Civic,0.457667,27043324.0,312064017.0,2021-10-12T10:29:59.604Z
convex-crv,Convex CRV,2.54,1320027.0,308547135.0,2021-10-12T10:29:41.054Z
btc-standard-hashrate-token,BTC Standard Hashrate Token,41.88,58805401.0,305960427.0,2021-10-12T10:29:38.622Z
unibright,Unibright,2.05,1323081.0,305695508.0,2021-10-12T10:30:25.153Z
aelf,aelf,0.648177,64542811.0,305339358.0,2021-10-12T10:30:11.495Z
pundi-x,Pundi X OLD,0.00127742,3263.48,302135249.0,2021-10-12T09:43:57.327Z
singularitynet,SingularityNET,0.307218,4273458.0,300910736.0,2021-10-12T10:29:14.438Z
band-protocol,Band Protocol,7.16,28985666.0,298746438.0,2021-10-12T10:30:23.850Z
chia,Chia,151.36,22644130.0,298185000.0,2021-10-12T10:30:05.173Z
mask-network,Mask Network,8.93,37588915.0,298175241.0,2021-10-12T10:30:12.342Z
mirror-protocol,Mirror Protocol,2.75,35695783.0,296609311.0,2021-10-12T10:30:12.855Z
radicle,Radicle,13.99,71681051.0,294370484.0,2021-10-12T10:30:16.723Z
bonfida,Bonfida,5.92,1557765.0,292529678.0,2021-10-12T10:29:22.171Z
venus,Venus,25.58,16479046.0,290230753.0,2021-10-12T10:30:16.199Z
oasis-network,Oasis Network,0.191175,58104867.0,286478782.0,2021-10-12T10:29:25.135Z
prometeus,Prometeus,17.25,13402440.0,286246173.0,2021-10-12T10:30:09.821Z
storm,StormX,0.03033143,13818916.0,283171941.0,2021-10-12T10:29:58.256Z
sbtc,sBTC,57002.0,8208629.0,281577200.0,2021-10-12T10:26:37.791Z
dero,Dero,25.41,2793311.0,278262681.0,2021-10-12T10:26:37.961Z
sapphire,Sapphire,0.399226,189680.0,273302837.0,2021-10-12T10:27:07.456Z
hive,Hive,0.751608,11638183.0,272208981.0,2021-10-12T10:29:57.931Z
bifrost,Bifrost,0.275384,14461820.0,270687751.0,2021-10-12T10:30:11.833Z
adventure-gold,Adventure Gold,3.47,85173382.0,269438468.0,2021-10-12T10:30:12.439Z
origin-protocol,Origin Protocol,0.752581,25897815.0,269260228.0,2021-10-12T10:30:31.974Z
dopex,Dopex,1870.18,14589607.0,268228762.0,2021-10-12T10:24:17.825Z
dodo,DODO,1.21,31083945.0,268082323.0,2021-10-12T10:29:48.212Z
reef-finance,Reef Finance,0.01903923,26150285.0,264004904.0,2021-10-12T10:28:58.863Z
casper-network,Casper Network,0.110426,25212589.0,263230749.0,2021-10-12T10:29:38.360Z
iexec-rlc,iExec RLC,3.67,27214971.0,261057037.0,2021-10-12T10:30:05.256Z
mango-markets,Mango Markets,0.258943,2084164.0,261045003.0,2021-10-12T10:25:25.791Z
maidsafecoin,MaidSafeCoin,0.569368,1073862.0,258072980.0,2021-10-12T10:29:56.911Z
husd,HUSD,1.0,38604140.0,256141390.0,2021-10-12T10:29:08.037Z
marketpeak,PEAKDEFI,0.255708,169535.0,252882487.0,2021-10-12T10:27:45.830Z
numeraire,Numeraire,43.72,16740020.0,252847046.0,2021-10-12T10:30:22.999Z
cartesi,Cartesi,0.587778,16550828.0,252751951.0,2021-10-12T10:30:07.060Z
shiden,Shiden Network,4.26,3608445.0,250035558.0,2021-10-12T10:30:00.384Z
ark,Ark,1.56,3707201.0,248823714.0,2021-10-12T10:30:19.906Z
ice-token,Popsicle Finance,18.24,18584201.0,247248475.0,2021-10-12T10:29:41.965Z
tokemak,Tokemak,47.42,8882205.0,243979416.0,2021-10-12T10:29:39.039Z
eden,EDEN,2.82,9999725.0,240750150.0,2021-10-12T10:29:41.393Z
telos,Telos,0.989692,3380077.0,240297218.0,2021-10-12T10:28:10.414Z
alchemix-usd,Alchemix USD,0.993564,304202.0,238306030.0,2021-10-12T10:29:40.792Z
unizen,Unizen,5.34,3933152.0,233938587.0,2021-10-12T10:29:33.385Z
