id,name,current_price,total_volume,market_cap,last_updated
omisego,OMG Network,14.93,1121208971.0,2096182532.0,2021-10-13T23:36:52.109Z
sushi,Sushi,10.11,363339168.0,1949615420.0,2021-10-13T23:36:54.357Z
thorchain,THORChain,7.3,44487468.0,1919772123.0,2021-10-13T23:35:20.904Z
dash,Dash,182.98,311416482.0,1905719545.0,2021-10-13T23:36:35.394Z
helium,Helium,19.33,8481404.0,1903768087.0,2021-10-13T23:35:42.265Z
celo,Celo,5.7,79286907.0,1868584452.0,2021-10-13T23:36:25.703Z
compound-governance-token,Compound,304.13,106122366.0,1854040883.0,2021-10-13T23:36:17.169Z
chiliz,Chiliz,0.326861,396989643.0,1744784094.0,2021-10-13T23:36:55.870Z
decred,Decred,125.3,11357867.0,1681316143.0,2021-10-13T23:36:45.015Z
ecomi,ECOMI,0.00759962,11383748.0,1655080504.0,2021-10-13T23:35:35.457Z
havven,Synthetix Network Token,9.38,70539345.0,1648538801.0,2021-10-13T23:36:37.256Z
holotoken,Holo,0.00925936,141661468.0,1645343147.0,2021-10-13T23:36:54.196Z
theta-fuel,Theta Fuel,0.294722,19535671.0,1593565053.0,2021-10-13T23:36:50.433Z
nem,NEM,0.176388,46355292.0,1587473394.0,2021-10-13T23:36:26.697Z
magic-internet-money,Magic Internet Money,1.01,28543118.0,1488238064.0,2021-10-13T23:35:45.760Z
enjincoin,Enjin Coin,1.58,76556496.0,1473490953.0,2021-10-13T23:36:45.422Z
xdce-crowd-sale,XDC Network,0.119786,7091848.0,1466276811.0,2021-10-13T23:36:24.878Z
icon,ICON,2.13,59797158.0,1436360468.0,2021-10-13T23:35:58.615Z
zcash,Zcash,118.95,195294140.0,1390581656.0,2021-10-13T23:36:30.014Z
qtum,Qtum,13.38,239939727.0,1388646001.0,2021-10-13T23:36:06.347Z
true-usd,TrueUSD,1.01,86651250.0,1284019270.0,2021-10-13T23:36:22.741Z
flow,Flow,18.56,101940071.0,1265469517.0,2021-10-13T23:36:35.221Z
iostoken,IOST,0.05536,143100203.0,1263977787.0,2021-10-13T23:36:40.137Z
dydx,dYdX,22.32,572218403.0,1259694948.0,2021-10-13T23:36:41.004Z
yearn-finance,yearnfinance,34508.0,300267818.0,1232329236.0,2021-10-13T23:36:39.311Z
huobi-token,Huobi Token,7.5,72835437.0,1231153523.0,2021-10-13T23:36:03.450Z
bitclout,Decentralized Social,114.89,130552.0,1210018495.0,2021-10-13T23:32:22.702Z
bitcoin-gold,Bitcoin Gold,68.77,13167617.0,1204927800.0,2021-10-13T23:36:52.483Z
zilliqa,Zilliqa,0.094151,69057501.0,1188061918.0,2021-10-13T23:36:45.237Z
curve-dao-token,Curve DAO Token,2.97,292998524.0,1162472308.0,2021-10-13T23:36:40.925Z
telcoin,Telcoin,0.020252,34548211.0,1161369239.0,2021-10-13T23:33:55.774Z
mina-protocol,Mina Protocol,4.19,32948363.0,1101290474.0,2021-10-13T23:36:37.424Z
ravencoin,Ravencoin,0.107957,36732825.0,1065268140.0,2021-10-13T23:35:36.245Z
basic-attention-token,Basic Attention Token,0.702532,97056736.0,1047549908.0,2021-10-13T23:36:48.700Z
safemoon,SafeMoon,1.81e-06,5543785.0,1040206090.0,2021-10-13T23:36:23.290Z
decentraland,Decentraland,0.764999,45447989.0,1015675140.0,2021-10-13T23:36:42.673Z
