id,name,current_price,total_volume,market_cap,last_updated
helium,Helium,21.71,8951307.0,2137675555.0,2021-10-19T18:54:41.962Z
sushi,Sushi,10.62,168156475.0,2053304316.0,2021-10-19T18:54:41.091Z
dash,Dash,192.87,381119201.0,2009408978.0,2021-10-19T18:54:05.975Z
celo,Celo,6.06,40189542.0,1989237538.0,2021-10-19T18:54:31.678Z
thorchain,THORChain,7.52,28684014.0,1973391324.0,2021-10-19T18:54:37.383Z
omisego,OMG Network,13.95,365723433.0,1949829392.0,2021-10-19T18:53:59.766Z
compound-governance-token,Compound,305.73,89076816.0,1859865433.0,2021-10-19T18:54:41.193Z
chiliz,Chiliz,0.316184,183741698.0,1694921567.0,2021-10-19T18:54:41.757Z
magic-internet-money,Magic Internet Money,1.01,49536485.0,1694763214.0,2021-10-19T18:51:41.592Z
zcash,Zcash,141.98,339310924.0,1664655557.0,2021-10-19T18:54:40.121Z
havven,Synthetix Network Token,9.39,46897372.0,1654605552.0,2021-10-19T18:54:08.093Z
holotoken,Holo,0.00926253,122485208.0,1644157930.0,2021-10-19T18:54:32.691Z
decred,Decred,118.8,13500131.0,1590045612.0,2021-10-19T18:53:56.204Z
theta-fuel,Theta Fuel,0.28148,25010240.0,1558161861.0,2021-10-19T18:54:27.737Z
enjincoin,Enjin Coin,1.61,66307086.0,1521857001.0,2021-10-19T18:53:56.054Z
nem,NEM,0.167721,30560847.0,1508277483.0,2021-10-19T18:54:22.530Z
ecomi,ECOMI,0.00694886,6813534.0,1455477570.0,2021-10-19T18:51:12.477Z
icon,ICON,2.11,67012343.0,1402674650.0,2021-10-19T18:54:42.513Z
xdce-crowd-sale,XDC Network,0.108469,6306214.0,1346966520.0,2021-10-19T18:53:58.014Z
true-usd,TrueUSD,1.0,79001440.0,1290687577.0,2021-10-19T18:54:36.121Z
qtum,Qtum,12.36,176513277.0,1284860809.0,2021-10-19T18:54:25.046Z
huobi-token,Huobi Token,7.84,50857582.0,1258570482.0,2021-10-19T18:54:18.597Z
yearn-finance,yearn.finance,34296.0,155238567.0,1220674125.0,2021-10-19T18:54:29.145Z
